quarter,courseId,title,dept_code,description,subject_area,obj_level,college,units,instruction_type1,online_course
20244,ANTH    147  ,WATER AND SOCIETY,ANTH ,"Covers the longstanding debate over the relation between irrigation and state   formation, as well as current developments in the study of water and society.   Emphasis is placed on people living in arid and semi-arid environments.",ANTH    ,U,L&S,4,LEC,FALSE
20244,ANTH    153T ,PRIMATE BEHAVIOR,ANTH ,"An introduction to primatology and the principles of behavioral ecology usi ng langur, vervet, macaque, baboon, gorilla, and chimpanzee field studies t o illustrate theories of foraging, parenting, kinship, sexual selection, in cest avoidance, aggression, and dominance. Concludes with applications to h uman evolution.",ANTH    ,U,L&S,4,LEC,FALSE
20244,ANTH    159  ,ANTH OF WAR,ANTH ,"Examines the concepts and experiences that cohere around warfare and weaponized conflict. Investigates the modern shape of war, its technologies , its strategies and how it’s infused within broader political and social life. Topics and concepts include military, civil, political, and social violence; insurgency and counterinsurgency; revolution and counterrevolution; enmity and the logics of race; power and force; sovereignty and territorial space; security and protection; and communicative reason and the lack thereof.",ANTH    ,U,L&S,4,LEC,FALSE
20244,ANTH    170  ,BEHAV ECOL FAM,ANTH ,"Considers diversity in human family structure and family relationships from the   perspective of evolutionary anthropology. Topics include: kin selection and   detection,   sibling competition and family size, childhood and sexual maturity, parent-  offspring   conflict, sex roles, marriage and inheritance, parental investment strategies.",ANTH    ,U,L&S,4,LEC,FALSE
20244,ANTH    174  ,AMAZONIA,ANTH ,"Focuses on the people, environment, and history of Amazon basin. Topics of study include human-environment interactions across time; social and cultur al groups; representations in film, media, and literature; and contemporary social, political, and environmental issues facing the region.",ANTH    ,U,L&S,4,LEC,FALSE
20244,ANTH    178  ,INTERN ARCHAEO REC,ANTH ,Interns serve as assistants in the department's Central Coast Information Center or Repository for Archaeological   Collections or both.,ANTH    ,U,L&S,NA,TUT,FALSE
20244,ANTH    182M ,INTRO LITHIC ANALYS,ANTH ,This course gives students an introduction to the anthropology and archaeology of making and using stone tools. Practical experience in making tools and using them experimentally is emphasized.,ANTH    ,U,L&S,4,LEC,FALSE
20244,ANTH    183  ,INTERN ARCH RES MGT,ANTH ,"Interns serve as assistants or trainees in the archaeological programs of a governmental agency, a museum, or a private firm in the local area. In collaboration with the instructor and an extramural archaeologist, the student conceives a set of activities for the internship.",ANTH    ,U,L&S,NA,TUT,FALSE
20244,ANTH    190  ,CULT ANTH INTERN,ANTH ,"Students serve as interns in various settings such as museums, governmental agencies, and health organizations to gain   exposure to different cultures. In collaboration with the   instructor and an extramural anthropologist, the student   conceives a set of activities for the internship.",ANTH    ,U,L&S,NA,TUT,FALSE
20244,ANTH    194  ,FLD TRNG ARCH,ANTH ,Introduction to design of research projects and techniques of   data collection in archaeology. The number of units taken in   one course will depend on the amount of training and   experience received.,ANTH    ,U,L&S,NA,FLD,FALSE
20244,ANTH    194P ,PRACTICUM FIELD/LAB,ANTH ,"An applied course emphasizing acquisition of practical skills   in archaeological field work and laboratory analysis. Projects   will vary depending on the type of archaeological research in   progress and may include artifact processing, cataloguing,   field excavation and preparation of research results.",ANTH    ,U,L&S,NA,FLD,FALSE
20244,ANTH    195B ,ANTH HNR IND STDY I,ANTH ,Individual research under the supervision of an   Anthropology faculty memb er which will result in an honors  thesis. This course concentrates on read ing and gathering   of materials for thesis.,ANTH    ,U,L&S,4,SEM,FALSE
20244,ANTH    195C ,ANTH HNR IND STD II,ANTH ,Individual research under the supervision of an   Anthropology faculty memb er which results in an honors thesis. Writing the thesis will be completed in this   course. Final course in progress series.,ANTH    ,U,L&S,4,SEM,FALSE
20244,ANTH    198  ,INDEP READINGS ANTH,ANTH ,Intended for students who know their own reading needs. Normally requires regular meeting with the instructor.,ANTH    ,U,L&S,NA,TUT,FALSE
20244,ANTH    199  ,INDEP STUDIES ANTH,ANTH ,Students must execute a limited research project on their own initiative.,ANTH    ,U,L&S,NA,TUT,FALSE
20244,ANTH    199RA,RESEARCH TRAINING,ANTH ,Student gains research experience through assisting faculty member in research project.,ANTH    ,U,L&S,NA,TUT,FALSE
20244,ANTH    206GW,CUR PROBS IN ARCH,ANTH ,Critical examination of a selected aspect of contemporary   archaeological research and theory. Topics will vary from year to year.,ANTH    ,G,L&S,4,SEM,FALSE
20244,ANTH    235A ,FND MOD SOC THEORY,ANTH ,"Seminar introduces major post-enlightenment debates on social life and modernity. Selections from Marx, Durkheim, Weber, Freud as well as major responses, revisions and critiques in critical and subaltern theory, cultural studies, structuralism and poststructuralism. Close readings of primary texts emphasized.",ANTH    ,G,L&S,4,SEM,FALSE
20244,ANTH    241  ,CONT. TOP. BIO ANTH,ANTH ,"Read and discuss professional literature in biological anthropology and related fields: evolutionary and life history theory, human biology, paleoanthropology, biomedical science and primatology. Course keeps students abreast of key developments in the field.",ANTH    ,G,L&S,1,SEM,FALSE
20244,ANTH    245IA,EVOANTHLAB,ANTH ,Weekly discussion of IAS faculty and graduate student work in progress,ANTH    ,G,L&S,2,SEM,FALSE
20244,ANTH    250AB,METHOD AND THEORY,ANTH ,A discussion of general problems in anthropology. Consult with department office for faculty designation.,ANTH    ,G,L&S,4,SEM,FALSE
20244,ANTH    501  ,TA PRACTICUM,ANTH ,"The course, designed to meet the needs of the graduate student who serves as a teaching assistant, includes analyses of texts and materials, discussion of teaching techniques, conducting discussion sections, formulation of topics and questions for papers and examinations, and grading papers and examinations under the supervision of the instructor assigned to the course.",ANTH    ,G,L&S,4,SEM,FALSE
20244,ANTH    594  ,FIELD RESEARCH TRNG,ANTH ,Introduction to the planning and implementation of full-scale   research projects. The opportunity will be given to formulate   and carry out designs and to direct crews in data collection.,ANTH    ,G,L&S,NA,FLD,FALSE
20244,ANTH    596  ,DIR READING & RSCH,ANTH ,Individual tutorial.,ANTH    ,G,L&S,NA,TUT,FALSE
20244,ANTH    597  ,IND STUDY M.A. COMP,ANTH ,Individual tutorial.,ANTH    ,G,L&S,NA,TUT,FALSE
20244,ANTH    598  ,MA & PRE-CAND PREP,ANTH ,Individual tutorial for graduate students writing the research paper and/or dissertation proposal for advancement to candidacy.,ANTH    ,G,L&S,NA,TUT,FALSE
20244,ANTH    599  ,PH D DISS PREP,ANTH ,Individual tutorial.,ANTH    ,G,L&S,NA,TUT,FALSE
20244,ART       1A ,VISUAL LITERACY,ART  ,"An introductory survey of visual culture, encompassing art   and film theory and practice, digital technologies,   television, advertising and print media, with a special focus   on current interdisciplinary methodologies.",ART     ,U,L&S,5,LEC,FALSE
20244,ART       1C ,INTRO CONTEMP ART,ART  ,"Symposium format course presents contemporary artists'   creative projects in relation to recent developments in art   and cross-disciplinary practices. Lectures by UCSB's Art   Department faculty and also distinguished guests invited to   expand on art, theory and cultural production.",ART     ,U,L&S,2,LEC,FALSE
20244,ART       7B ,IMAGE STUDIES,ART  ,"The study of visual perception and image-making across visual art disciplin es, both material and digital. Studio assignments are combined with related critical theory, historical practice, current strategies, and new evolutio ns.",ART     ,U,L&S,5,LEC,FALSE
20244,ART      10  ,INTRO  PAINTING,ART  ,Traditional and contemporary painting assignments designed to   provide a s trong foundation in fundamental 2D image making.   Media include acrylic an d oil painting methods.,ART     ,U,L&S,4,STD,FALSE
20244,ART      14  ,LOWER-DIVISN PRINT,ART  ,"Introduction to making prints. Emphasis on technical fundamentals and conce ptual aspects of graphic arts. ""Print"" incorporates hand produced mechanica lly or photographically reproduced, and electronically replicated media.",ART     ,U,L&S,4,STD,FALSE
20244,ART      18  ,L/D DRAWING,ART  ,"Introduction to two-dimensional representation with various   drawing media , including structural and symbolic implications   of the human form. Empha sis on organization of vision and   thought.",ART     ,U,L&S,4,STD,FALSE
20244,ART      22  ,COMP PROGR FOR ARTS,ART  ,"Using a project-based approach, the basic components of web   development and computer programming are explored in different markup and programming languages such as HTML/CSS, JavaScript, and Processing. The class is intended to create a general understanding of computer programming, its use and cultural implications, as well as provide a foundation for utilizing programming in a wide range   of projects, from traditional to new media.",ART     ,U,L&S,4,STD,FALSE
20244,ART     100  ,INT PAINTING,ART  ,"Various projects designed to assist the understanding and development of contemporary painting practices. Supplemented with slide lectures and class critique. Additional self-directed projects, sketch books, experimentati on, and   independent research are encouraged.",ART     ,U,L&S,4,STD,FALSE
20244,ART     105PP,PPART INT SPATIAL,ART  ,"Developing your own voice in sculpture and installation while considering y our audience is central to this course. Each student is encouraged to work with existing skills and build new ones in exploratory, materially fascinat ing works. At least one of your works will be situated in the public realm. We examine recent public art practices, cultivating manual, conceptual and collaborative skills in both the studio and public realm.",ART     ,U,L&S,4,STD,FALSE
20244,ART     117  ,INT DRAWING,ART  ,"Continuing investigation into the challenges of two-  dimensional represent ation. Course focus to depend on   instructor, but may include structural a nd symbolic   implications of the human form, historical and contemporary strategies of visual analysis, and exploration into   experimental media.",ART     ,U,L&S,4,STD,FALSE
20244,ART     122PC,PHYSICAL COMPUTING,ART  ,"Course will focus on development of New Media projects through the exploration of open-source computer software and hardware development tools.   Students will study the fundamentals of multimedia programming and learn how   to connect their software to tangible hardware devices to create interactive   digital artworks. Students are expected to have a strong technological   grounding in digital media and experience with digital graphics, sound video,   or web programming. Final projects will be based on knowledge and   capabilities of each student.",ART     ,U,L&S,4,STD,FALSE
20244,ART     126  ,INTRO THEORY,ART  ,"A basic beginning survey of contemporary art, film and media   theory, focusing specifically on: realism, formalism,   semiotics, phenomenology, psychoanalysis, feminism, Marxism,   gender/queer studies, poststructuralism, post-colonial theory   and broader issues of authorship, narratology, postmodernism,   and multiculturalism.",ART     ,U,L&S,4,LEC,FALSE
20244,ART     130  ,VISUAL ART/CULTURE,ART  ,"Exploration of visual arts and culture, including the evolving social and practical parameters of technologically produced images and the shifting arenas of ideology, analysis, and criticism.",ART     ,U,L&S,4,LEC,FALSE
20244,ART     136  ,PERSONAL NARRATIVE,ART  ,Intensive writing-based workshop designed for formulating and   producing artwork based on one's own personal experiences and   histories. Experimentation and expansion into other artistic   media are encouraged.,ART     ,U,L&S,4,LAB,FALSE
20244,ART     189A ,CAP DESIGN,ART  ,"Students in Art 189A-B-C will be working in teams together with mechanical engineering students on a mechanical engineering capstone design project. T he teams work under the direction of a faculty advisor in mechanical engine ering, and to a lesser extent an advisor from the art department (and possi bly an industrial sponsor) to tackle an engineering design project. Enginee ring communication, such as reports and oral presentations, are covered. Em phasis on practical, hands-on experience, and the integration of analytical and design skills. Students should aim to commit to taking A, B and C in o rder to work with their team from conception to finalization of a project. This lab is the first of three the series.",ART     ,U,L&S,3,STD,FALSE
20244,ART     192ES,EXHIBITION STUDIES,ART  ,"This internship provides pedagogical and practical support for students exhibiting work within the Arts Building and other venues across campus such as Cheadle Hall and the University Library. Among other skills,   the course will include intensive training in exhibition scheduling and curating, installation and display, the production of didactic supplements such as information sheets, wall texts and titles, methods of promotion as well as de-installation and art handling.",ART     ,U,L&S,NA,TUT,FALSE
20244,ART     196  ,HONORS SEMINAR,ART  ,Seminar designed to focus on criticism of current art work.   A total of 12 units in this course required to complete   honors program. Completion of seminar units followed by   public exhibition of work accomplished.,ART     ,U,L&S,4,SEM,FALSE
20244,ART     199  ,INDEPENDENT STUDIES,ART  ,Independent studies. Advanced independent or collaborative   work in consultation with individual faculty; individual   tutorial.,ART     ,U,L&S,NA,TUT,FALSE
20244,ART     199RA,RESEARCH ASSISTANCE,ART  ,Coursework shall consist of faculty supervised research   assistance.,ART     ,U,L&S,NA,TUT,FALSE
20244,ART     244  ,GRAD SEM CRITIQUE,ART  ,A seminar focusing on criticism of current art work.,ART     ,G,L&S,4,SEM,FALSE
20244,ART     261  ,ALL FACULTY SEMINAR,ART  ,"Symposium format course presents contemporary artists'   creative projects in relation to recent developments in art   and cross-disciplinary practices. Lectures by faculty from   UCSB's Art Department supplemented by distinguished guests   invited to expand on art, theory and cultural production.",ART     ,G,L&S,2,SEM,FALSE
20244,ART     501  ,TA PRACTICUM,ART  ,Practice of teaching art.,ART     ,G,L&S,NA,TUT,FALSE
20244,ART     591A ,DIR STDY VIS ARTS,ART  ,Individual tutorial.,ART     ,G,L&S,NA,TUT,FALSE
20244,ART     593MS,MFA THESIS PROJECT,ART  ,Individual tutorial.,ART     ,G,L&S,NA,TUT,FALSE
20244,ART     594  ,SP STUDIES/ST ART,ART  ,A means of making special studies and meeting special   curricular problems.,ART     ,G,L&S,4,TUT,FALSE
20244,ART     595  ,DIR HIST READ & RES,ART  ,"Independent research involving extensive reading and written essay on a par ticular period, artist, or body of work with a historical context.",ART     ,G,L&S,NA,LAB,FALSE
20244,ARTHI     6F ,SUR ARCH & PLAN,ARTHI,A selective and chronological survey of architecture and urban design in social and historical context. Individual buildings and urban plans from the past to the present will be used as examples.,ARTHI   ,U,L&S,5,LEC,FALSE
20244,ARTHI     6K ,ISLAM ART & ARCH,ARTHI,A survey of Islamic art and architecture.,ARTHI   ,U,L&S,5,LEC,FALSE
20244,ARTHI     6L ,HISTORY OF GAMES,ARTHI,"This course introduces students to the history of games. It is organized ch ronologically as a global survey. We study games and the social, political, and economic conditions that support them, as well as the interface betwee n the human player and the imagined world of the game. Taking as its premis e that games are artifacts of culture, this course focuses on the visual an d spatial practice of games in social context.",ARTHI   ,U,L&S,5,LEC,FALSE
20244,ARTHI   109B ,REN. ART 1500-1600,ARTHI,"Developments in a variety of artistic media with attention to issues of geo graphy, empires, religion, workshop culture, and theory.",ARTHI   ,U,L&S,4,LEC,FALSE
20244,ARTHI   113B ,17C ART IN ITALY I,ARTHI,"Italian painting, sculpture, architecture, and urbanism from the late sixteenth to late seventeenth centuries examined in its cultural, political, and religious contexts, with emphasis on the relationship between the arts. Focus on the earlier seventeenth century, including the work of Caravaggio, Carracci, and the young Bernini.",ARTHI   ,U,L&S,4,LEC,FALSE
20244,ARTHI   127A ,AFRICAN ART-I,ARTHI,"The relationship of art to life in sub-Saharan Africa. A cross-cultural survey of types, styles, history, and values of arts ranging from personal decoration to the state festival, stressing Ashanti, Ife, Benin, Yoruba, Cameroon.",ARTHI   ,U,L&S,4,LEC,FALSE
20244,ARTHI   130D ,ART & ARCH OF ANDES,ARTHI,"The architecture, ceramics, textiles, and other classes of material culture of Andean societies from 3000 B.C. to the Conquest examined within their c ultural contexts with a focus on sociopolitical organization and cultural t raditions.",ARTHI   ,U,L&S,4,LEC,FALSE
20244,ARTHI   132J ,MODERN ARAB ART,ARTHI,"Explores modern and contemporary art, artists and art movements of the Arab world from nineteenth century to the present.",ARTHI   ,U,L&S,4,LEC,FALSE
20244,ARTHI   136O ,GREEN ARCHITECTURE,ARTHI,"Course examines history and theory of sustainable and ""green"" architecture since the   early twentieth century. Emphasis is placed on the critical analysis of a distinct   ""green"" architectural aesthetic; the scope is global.",ARTHI   ,U,L&S,4,LEC,FALSE
20244,ARTHI   148C ,ART IN CALIFORNIA,ARTHI,"As a state, California is the site of tremendous diversity in the visual ar ts but has consistently suffered from stereotypes that framed it as a regio nal backwater far from New York and Europe. This lecture-based course addre sses the character and role of the post-war art and its developments in and beyond the cities of Los Angeles and San Francisco. Movements studied incl ude Mexican Muralism, the rise of modern photography, Asian American cultur e, assemblage and sculpture, the Black Arts movement, feminism, as well as pioneering developments in installation, video and performance art.",ARTHI   ,U,L&S,4,LEC,FALSE
20244,ARTHI   186P ,SEM IN LAT AM,ARTHI,"Advanced studies in pre-Columbian/colonial art. Topics will   vary. This co urse requires weekly readings and discussion, and   the writing of a resear ch seminar paper.",ARTHI   ,U,L&S,4,SEM,FALSE
20244,ARTHI   187A ,APPROACHING OBJECTS,ARTHI,"This seminar introduces students to the potential and different approaches of object-based scholarship drawing on multidisciplinary perspectives and a nalytic techniques from art history, archaeology, anthropology, object cons ervation, and the history of collecting and display. Topics and format will vary.",ARTHI   ,U,L&S,4,SEM,FALSE
20244,ARTHI   192A ,UNIV ART MUS INTERN,ARTHI,"Under supervision of History of Art & Architecture faculty, students may ob tain credit for work in the University Art Museum. Students earn one unit f or every 30 hours of work in their internship. Regular meetings, a final ev aluation session, and a written report are required.",ARTHI   ,U,L&S,NA,FLD,FALSE
20244,ARTHI   192B ,ADC INTERNSHIP,ARTHI,"Under supervision of History of Art & Architecture faculty, students may ob tain credit for work in the Architecture and Design Collection. Students ea rn one unit for every 30 hours of work in their internship. Regular meeting s, a final evaluation session, and a written report are required.",ARTHI   ,U,L&S,NA,FLD,FALSE
20244,ARTHI   192C ,VIS TECH INTERNSHIP,ARTHI,"An internship in the Visual Resource Collection to develop skills in the vi sual technologies relevant to art history teaching and research. Three hour s per week per unit (total 30 hours/unit), plus weekly meetings and final e valuation session. Written report required.",ARTHI   ,U,L&S,NA,FLD,FALSE
20244,ARTHI   192D ,UCSB INTERNSHIP,ARTHI,"Under supervision of History of Art & Architecture faculty, students may ob tain credit for internship work on UCSB's campus, excluding the ADA Museum, the ADC, and the IRC internships. Students earn one unit for every 30 hour s of work in their internship. Regular meetings, a final evaluation session , and a written report are required.",ARTHI   ,U,L&S,NA,FLD,FALSE
20244,ARTHI   192E ,OFF CAMPUS INTERN,ARTHI,"Under supervision of History of Art & Architecture faculty, students may ob tain credit for work in a museum, gallery, or architecture firm. Students e arn one unit for every 30 hours of work in their internship. Regular meetin gs, a final evaluation session, and a written report are required.",ARTHI   ,U,L&S,NA,FLD,FALSE
20244,ARTHI   199  ,INDEPENDENT STUDIES,ARTHI,Advanced individual problems.    Each unit requires 30 hours per quarter of work from the   student.,ARTHI   ,U,L&S,NA,TUT,FALSE
20244,ARTHI   199RA,RESEARCH ASSISTANT,ARTHI,Undergraduate research assistant.    Each unit requires 30 hours per quarter of work from the   student.,ARTHI   ,U,L&S,NA,TUT,FALSE
20244,ARTHI   265  ,SEM ARCH HIST URBAN,ARTHI,Special research in the history of architecture.,ARTHI   ,G,L&S,4,SEM,FALSE
20244,ARTHI   282A ,SEM ON E ASIAN ART,ARTHI,"Research on select problems on the arts of China, Japan, or Korea.",ARTHI   ,G,L&S,4,SEM,FALSE
20244,ARTHI   295  ,SEM ADV READ ARTHI,ARTHI,Source readings for graduate students. Independent reading and research in connection with an undergraduate lecture course.,ARTHI   ,G,L&S,4,SEM,FALSE
20244,ARTHI   500  ,APPRENTICE TEACHING,ARTHI,"For teaching assistants, course includes directed readings, instruction in use of visual aids, pedagogical techniques, design of materials for discuss ion sections, and methodological analyses. Attendance at lectures in the co urse to which the T.A. is assigned is a requirement.",ARTHI   ,G,L&S,NA,SEM,FALSE
20244,ARTHI   595  ,GROUP STUDIES,ARTHI,Informal reading and discussion.,ARTHI   ,G,L&S,NA,TUT,FALSE
20244,ARTHI   596  ,INDEPENDENT STUDY,ARTHI,Individual tutorial. A written proposal must be approved by the department chair.,ARTHI   ,G,L&S,NA,TUT,FALSE
20244,ARTHI   597  ,READING FOR EXAM,ARTHI,Preparation for terminal M.A. or for Ph.D. Minor and Major exams.,ARTHI   ,G,L&S,NA,TUT,FALSE
20244,ARTHI   598  ,MA THESIS PREP,ARTHI,Master's Thesis research and preparation.,ARTHI   ,G,L&S,NA,TUT,FALSE
20244,ARTHI   599  ,PH D DISS PREP,ARTHI,Dissertation research and preparation.,ARTHI   ,G,L&S,NA,TUT,FALSE
20244,AS AM     2  ,AMERICAN MIGRATION,ASAM ,"An examination of central themes in immigration law and policy, especially after the Immigration Act of 1965.  The class focuses on Asian immigrants, but covers immigration trends comparatively.  Topics include economic integ ration, interracial conflict, subsequent immigration reforms and their cons equences.",AS AM   ,U,L&S,5,LEC,FALSE
20244,AS AM     2H ,AMERICAN MIGRATION,ASAM ,Students receive one unit for the honors seminar. Intended   for highly motivated and well prepared students.,AS AM   ,U,L&S,1,DIS,FALSE
20244,AS AM     5  ,INTRO ASIAN AM LIT,ASAM ,"Selected major themes in literary texts from Asian American communities, including Japanese, Chinese, Korean, Filipino and Southeast Asian Americans: dislocation/relocation; finding/inventing a usable past; poetics/politics in language; identities/ethnicities.",AS AM   ,U,L&S,5,LEC,FALSE
20244,AS AM   100CC,FILIPINO AMERICANS,ASAM ,The historical and contemporary experiences of specific Asian ethnic groups: Filipino Americans.,AS AM   ,U,L&S,4,LEC,FALSE
20244,AS AM   100HH,SOUTHEAST ASIAN,ASAM ,The historical and contemporary experiences of specific Asian ethnic groups : Southeast Asian Americans (100HH).,AS AM   ,U,L&S,4,LEC,FALSE
20244,AS AM   118  ,AS AM POP CULTURE,ASAM ,"A historical survey of how Asians and Asian Americans have been represented in   American popular culture and an analysis of alternative models of pop ular   culture. Texts include literature, theatre, television, and film.",AS AM   ,U,L&S,4,LEC,FALSE
20244,AS AM   127  ,"FILM, TV, MEDIA",ASAM ,"Formal, historical, and cultural issues in the study of Asian American film , television, and digital media practices in independent, Hollywood, and tr ansnational contexts. The role of cinema and visual technology in the under standing of Asian Americans in modern and contemporary culture.",AS AM   ,U,L&S,4,LEC,FALSE
20244,AS AM   128  ,AS AM WOMEN WRITING,ASAM ,"Asian American women's writing covering a variety of genres   and cultural communities; emphasis on literary analysis of   works in relation to central themes of race, family and   gender.",AS AM   ,U,L&S,4,LEC,FALSE
20244,AS AM   130  ,COLONIALISM,ASAM ,"Examines the impact of Western imperialism and colonialism on Asian people and nations, and then the subsequent migrations of Asians to the United States.    The course examines the root causes of migration, the response of the United   States to Asians immigrants, and changes to immigration law and policy from   1850 to 1965.",AS AM   ,U,L&S,4,LEC,FALSE
20244,AS AM   181  ,DESIGN FOR EQUITY,ASAM ,"Training in the methods, rationale, and background of Human Centered Design. Practical experience applying this method to address an equity issue in today's world as defined by the students and faculty. Class is collaborative and project-based.",AS AM   ,U,L&S,4,SEM,FALSE
20244,AS AM   186  ,APPLIED AAS,ASAM ,"Asian American Studies should reach far beyond academia. How do we make it more accessible? In this course, we will make open educational resources (OER) about Asian Americans and Pacific Islanders for high school, college and lifelong learners. As Ethnic Studies courses become integrated into K-12 education, we need to ensure that there are public educational resources. In this course, we will build on and deepen our knowledge about Asian American Studies to collectively create Asian American Studies OER projects.",AS AM   ,U,L&S,4,SEM,FALSE
20244,AS AM   194A ,ETHNC ST TEACH ED,ASAM ,"Designed for students who are Black Studies, Chicana/o Studies, Asian Ameri can and/or Feminist Studies majors in the ÉXITO (Educational eXcellence and Inclusion Training Opportunities) program. Central to the year-long semina r will be preparations for students' pursuit for a career as K-12 Ethnic St udies educators. Students will have direct assistance for preparing and app lying to Masters/Teacher Education Programs as well as professionalization workshops.",AS AM   ,U,L&S,2,LEC,FALSE
20244,AS AM   199  ,INDEPENDENT STUDIES,ASAM ,Independent study of topics not covered in the regular curriculum under theguidance of approved faculty member.,AS AM   ,U,L&S,NA,TUT,FALSE
20244,AS AM   199RA,INDEP RESEARCH ASST,ASAM ,Coursework consists of faculty supervised research assistance.,AS AM   ,U,L&S,NA,SEM,FALSE
20244,AS AM   200  ,CRIT ISS AS AM ST,ASAM ,"Graduate Seminar exploring critical themes and major debate in Asian American Studies. Readings cover perspectives that may include history, literature, sociology, anthropology, cultural studies, political science, gender and sexuality studies, psychology, and religious studies.",AS AM   ,G,L&S,4,SEM,FALSE
20244,AS AM   500  ,LAB FOR TAS,ASAM ,Supervised teaching of Asian American studies lower-division courses.,AS AM   ,G,L&S,4,TUT,FALSE
20244,AS AM   596  ,DIR READ & RESEARCH,ASAM ,Reading and research in special topics in Asian American studies.,AS AM   ,G,L&S,NA,TUT,FALSE
20244,ASTRO     1  ,BASIC ASTRONOMY,PHYS ,"A survey of the development of astronomy with an emphasis on understanding the observable properties of the solar system, the sun and other stars, our own and other galaxies, and the entire universe. Topics of current interes t will be discussed as time permits.",ASTRO   ,U,L&S,5,LEC,FALSE
20244,BIOE    120A ,MOLECULAR BIOENGR,BENG ,"Introduces students to molecular components of biology with application of engineering principles for analysis. Topics include: molecular components o f cells, DNA/RNA structure and function, protein structure/function/folding , gene and protein regulation, DNA replication, and experimental and comput ational research methods.",BIOE    ,U,ENGR,3,LEC,FALSE
20244,BIOE    210  ,BIOMOLEC METHODS,BENG ,"The goal of the course is to generate in our students an understanding of t he logic behind the key tools used to characterize biomolecules and biosyst ems.  Both the mechanisms by which these techniques work, and the rationale for why each would be employed (strengths, weaknesses, potential pitfalls) .",BIOE    ,G,ENGR,3,LEC,FALSE
20244,BIOE    211  ,QUANT EXP,BENG ,"This course is built around experimental design, data analysis, and quantit ative modeling of biological processes and phenomena. Topics including expe rimental design considerations and a priori assumptions, probability, dimen sional reduction, hypothesis testing, statistical analysis, and quantitativ e modeling through ordinary and partial differential equations. Case studie s of recent and classic research papers in Bioengineering are used to illus trate key course topics through class discussions.",BIOE    ,G,ENGR,3,LEC,FALSE
20244,BIOE    220A ,MOLECULAR BIOENGR,BENG ,"Introduces students to molecular components of biology and application of e ngineering principles for their analysis. Topics include: molecular compone nts of cells; DNA structure and function, including replication; gene regul ation; protein structure, function, and folding; chemical kinetics; signal transduction and mathematical descriptions thereof; and mechanics of biomol ecules and subcellular structures (membranes, cytoskeleton).",BIOE    ,G,ENGR,3,LEC,FALSE
